Ticker,Company_code,Company_name,Exchange,OutstandingShares,Margin,Industry_lev3,Industry_lev4,Listed_date,freeFloat,freeFloatRate,statePercentage,foreignerPercentage,maximumForeignPercentage
DBM,DBM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,UPCOM,1941584,Không được ký quỹ,Dược phẩm,Sản xuất thuốc và dược phẩm,2009-12-16T17:00:00.000Z,388316.0,0.2,0.50999955,0.2299,0.48999994
DBT,DBT,Công ty Cổ phần Dược phẩm Bến Tre,HOSE,15625477,Được ký quỹ,Nhà cung cấp và dịch vụ chăm sóc sức khỏe,Phân phối dược phẩm và tạp hóa dược,2020-10-27T17:00:00.000Z,11719107.0,0.75,0.0,0.0275,0.0
DC2,DC2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,HNX,7196673,Được ký quỹ,Kỹ thuật xây dựng,"Nhà thầu về nền móng, cấu trúc và bề mặt ngoài",2010-07-01T17:00:00.000Z,2878669.0,0.4,0.17533102,0.0245,0.49999993
DC4,DC4,Công ty Cổ phần Xây dựng DIC Holdings,HOSE,52499723,Được ký quỹ,Kỹ thuật xây dựng,"Xây dựng nhà ở, cao ốc",2020-10-19T17:00:00.000Z,13124930.0,0.25,0.0,0.001,0.49999999
DCL,DCL,Công ty Cổ phần Dược phẩm Cửu Long,HOSE,73041030,Được ký quỹ,Dược phẩm,Sản xuất thuốc và dược phẩm,2008-09-16T17:00:00.000Z,18260257.0,0.25,0.0,0.0132,0.0
DCM,DCM,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,HOSE,529400000,Được ký quỹ,Hóa chất,Sản xuất phân bón,2015-03-30T17:00:00.000Z,132350000.0,0.25,0.7556159,0.1143,0.49
DCS,DCS,Công ty Cổ phần Tập đoàn Đại Châu,UPCOM,60309533,Không được ký quỹ,Hàng gia dụng,Sản xuất tủ bếp và nội thất hộ gia đình,2019-05-30T17:00:00.000Z,60309533.0,1.0,0.0,0.0074,0.49001182
DCT,DCT,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,UPCOM,27223647,Không được ký quỹ,Vật liệu xây dựng,Vật liệu xây dựng khác,2016-04-06T17:00:00.000Z,12250641.0,0.45,0.12497833,0.0042,0.49
VBG,DCVBTKV,Công ty Cổ phần Địa chất Việt Bắc - TKV,UPCOM,8600000,Không được ký quỹ,Những dịch vụ chuyên nghiệp,Dịch vụ nghiên cứu và tư vấn,2017-03-23T17:00:00.000Z,860000.0,0.1,0.92,0.0,0.49
DDM,DDM,Công ty Cổ phần Hàng hải Đông Đô,UPCOM,12244492,Không được ký quỹ,Đường biển,Vận tải đường thủy nội địa,2014-12-14T17:00:00.000Z,3061123.0,0.25,0.48973624,0.001,0.48999996
DDN,DDN,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng,UPCOM,15349328,Không được ký quỹ,Dược phẩm,Sản xuất thuốc và dược phẩm,2009-06-23T17:00:00.000Z,6139731.0,0.4,0.06645242,0.003,0.0
DDV,DDV,Công ty Cổ phần DAP - Vinachem,UPCOM,146109900,Không được ký quỹ,Hóa chất,Sản xuất phân bón,2015-06-09T17:00:00.000Z,58443960.0,0.4,0.64,0.0005,0.49
DCF,DECOFI,Công ty Cổ phần Xây dựng và Thiết kế số 1,UPCOM,15000000,Không được ký quỹ,Kỹ thuật xây dựng,Xây dựng công trình khác,2017-01-11T17:00:00.000Z,4500000.0,0.3,0.0,0.0002,0.49
DM7,DETMAY7,Công ty Cổ phần Dệt may 7,UPCOM,15411100,Không được ký quỹ,"Hàng dệt, may và phụ kiện",Sản xuất sản phẩm may mặc công nghiệp,2018-10-14T17:00:00.000Z,1541110.0,0.1,0.51,0.0,0.49
DFF,DFF,Công ty Cổ phần Tập đoàn Đua Fat,UPCOM,80000000,Không được ký quỹ,Kỹ thuật xây dựng,"Nhà thầu về nền móng, cấu trúc và bề mặt ngoài",2021-07-07T17:00:00.000Z,8000000.0,0.1,0.0,0.0,0.0
DGC,DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,HOSE,379778413,Được ký quỹ,Hóa chất,Sản xuất hóa chất cơ bản,2020-07-27T17:00:00.000Z,227867047.0,0.6,0.0,0.1631,0.49
DGT,DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,UPCOM,79000000,Không được ký quỹ,Kỹ thuật xây dựng,Xây dựng cầu đường,2010-03-08T17:00:00.000Z,11850000.0,0.15,0.00314051,0.0,0.49
DGW,DGW,Công ty Cổ phần Thế Giới Số,HOSE,167075474,Được ký quỹ,Nhà phân phối,"Phân phối các mặt hàng điện, điện tử",2015-08-02T17:00:00.000Z,91891510.0,0.55,0.0,0.2685,0.49
DHA,DHA,Công ty Cổ phần Hóa An,HOSE,14726073,Được ký quỹ,Vật liệu xây dựng,Khai thác đá,2004-04-13T17:00:00.000Z,11044554.0,0.75,0.24856855,0.1827,0.48999996
DHC,DHC,Công ty Cổ phần Đông Hải Bến Tre,HOSE,80493048,Được ký quỹ,Giấy và lâm sản,Sản xuất giấy,2009-07-22T17:00:00.000Z,56345133.0,0.7,0.0,0.3432,0.48999999
DHG,DHG,Công ty Cổ phần Dược Hậu Giang,HOSE,130746071,Được ký quỹ,Dược phẩm,Sản xuất thuốc và dược phẩm,2006-12-20T17:00:00.000Z,7844764.0,0.06,0.43310087,0.5427,1.0
DHM,DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,HOSE,31396180,Được ký quỹ,Kim loại và khai thác,Khai thác quặng kim loại,2012-07-23T17:00:00.000Z,28256562.0,0.9,0.0,0.0014,0.0
DHP,DHP,Công ty Cổ phần Điện cơ Hải Phòng,HNX,9492200,Được ký quỹ,Thiết bị điện,Sản xuất đồ điện gia dụng,2013-03-20T17:00:00.000Z,4746100.0,0.5,0.0316049,0.0068,0.49
DHT,DHT,Công ty Cổ phần Dược phẩm Hà Tây,HNX,26407315,Được ký quỹ,Dược phẩm,Sản xuất thuốc và dược phẩm,2008-12-02T17:00:00.000Z,13203657.0,0.5,0.0,0.2717,0.48999997
DIC,DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,UPCOM,26084560,Không được ký quỹ,Vật liệu xây dựng,Vật liệu xây dựng khác,2020-08-17T17:00:00.000Z,23476104.0,0.9,0.0,0.0029,0.48999998
DC1,DIC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,UPCOM,4094905,Không được ký quỹ,Kỹ thuật xây dựng,"Xây dựng nhà ở, cao ốc",2016-07-18T17:00:00.000Z,1023726.0,0.25,0.189284,0.0236,0.48999989
DID,DID,Công ty Cổ phần DIC - Đồng Tiến,UPCOM,15622552,Không được ký quỹ,Vật liệu xây dựng,Sản xuất xi măng,2009-12-09T17:00:00.000Z,5467893.0,0.35,0.0,0.003,0.5
TTE,DIENTRUONGTHINH,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,HOSE,28490400,Được ký quỹ,Tiện ích điện,Sản xuất và Phân phối Điện,2018-12-09T17:00:00.000Z,23653500.0,0.83022702,0.0,0.0001,0.5
DIG,DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,HOSE,609851995,Được ký quỹ,Quản lý và Phát triển bất động sản,Bất động sản dân cư,2009-08-18T17:00:00.000Z,426896396.0,0.7,0.0,0.0471,0.49
DIH,DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,HNX,5910262,Được ký quỹ,Kỹ thuật xây dựng,"Xây dựng nhà ở, cao ốc",2011-04-26T17:00:00.000Z,2955131.0,0.5,0.0,0.0006,0.0
DL1,DL1,Công ty Cổ phần Tập đoàn Alpha Seven,HNX,106236094,Được ký quỹ,Đường bộ và đường sắt,Vận tải hành khách đường bộ ,2010-03-09T17:00:00.000Z,63741656.0,0.6,0.0,0.0333,0.49
DLD,DLD,Công ty Cổ phần Du lịch Đắk Lắk,UPCOM,9307415,Không được ký quỹ,"Khách sạn, nhà hàng và giải trí",Nhà hàng đầy đủ dịch vụ,2011-04-07T17:00:00.000Z,1861483.0,0.2,0.28861419,0.0,0.48999996
DLG,DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,HOSE,299309720,Không được ký quỹ,Giấy và lâm sản,Sản xuất các sản phẩm gỗ,2010-06-21T17:00:00.000Z,224482290.0,0.75,0.0,0.0155,0.49
DLM,DLMC,Công ty Cổ phần Chiếu sáng công cộng Đà Nẵng,,,Không được ký quỹ,,,,541400.0,0.3266365,0.3,0.0,0.0
DLR,DLR,Công ty Cổ phần Địa ốc Đà Lạt,UPCOM,4500000,Không được ký quỹ,Kỹ thuật xây dựng,"Xây dựng nhà ở, cao ốc",2019-05-30T17:00:00.000Z,2925000.0,0.65,0.0,0.096,0.49
DUS,DLURBAN,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,UPCOM,5601200,Không được ký quỹ,Tiện ích khác,Dịch vụ Môi trường và Cơ sở vật chất,2020-01-07T17:00:00.000Z,840180.0,0.15,0.73786581,0.0,0.0
DMC,DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,HOSE,34727465,Được ký quỹ,Dược phẩm,Sản xuất thuốc và dược phẩm,2006-12-24T17:00:00.000Z,4861845.0,0.14,0.34711624,0.5532,1.0
NSS,DNALP,Công ty Cổ phần Nông súc sản Đồng Nai,UPCOM,10263942,Không được ký quỹ,Sản phẩm thực phẩm,Giết mổ và chế biến thịt động vật,2018-10-29T17:00:00.000Z,1026394.0,0.1,0.84315967,0.0,0.0
DNC,DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,HNX,6422258,Được ký quỹ,Tiện ích điện,Sản xuất và Phân phối Điện,2009-12-22T17:00:00.000Z,1605564.0,0.25,0.0,0.0035,0.0
DNW,DNCWS,Công ty Cổ phần Cấp nước Đồng Nai,UPCOM,120000000,Không được ký quỹ,Tiện ích nước,Hệ thống cung cấp và xử lý nước,2016-03-15T17:00:00.000Z,12000000.0,0.1,0.5332425,0.0007,0.095
DNH,DNH,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,UPCOM,422400000,Không được ký quỹ,Tiện ích điện,Sản xuất và Phân phối Điện,2017-06-18T17:00:00.000Z,296900.0,0.00070289,0.99929711,0.0,0.49
DNL,DNL,Công ty Cổ phần Logistics Cảng Đà Nẵng,UPCOM,4310000,Không được ký quỹ,Cơ sở hạ tầng giao thông,Cảng và dịch vụ hàng hải,2011-08-17T17:00:00.000Z,1077500.0,0.25,0.73424988,0.0039,0.0
DNM,DNM,Tổng Công ty Cổ phần Y tế Danameco,HNX,5253070,Không được ký quỹ,Thiết bị và nguồn cung cấp chăm sóc sức khỏe,Sản xuất dụng cụ và thiết bị y tế,2011-02-15T17:00:00.000Z,2101228.0,0.4,0.0,0.0362,0.5
DND,DNMB,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,UPCOM,8834000,Không được ký quỹ,Vật liệu xây dựng,Khai thác đá,2016-11-08T17:00:00.000Z,1325100.0,0.15,0.52290469,0.0045,0.0
DNN,DNN,Công ty Cổ phần Cấp nước Đà Nẵng,UPCOM,57964061,Không được ký quỹ,Tiện ích nước,Hệ thống cung cấp và xử lý nước,2017-07-16T17:00:00.000Z,2830200.0,0.04882681,0.60078981,0.0,0.48999998
DNP,DNP,Công ty Cổ phần DNP Holding,HNX,118901103,Được ký quỹ,Hóa chất,Sản phẩm từ nhựa,2009-06-28T17:00:00.000Z,83230772.0,0.7,0.0,0.0024,0.5
CDN,DNPORT,Công ty Cổ phần Cảng Đà Nẵng,HNX,99000000,Được ký quỹ,Cơ sở hạ tầng giao thông,Cảng và dịch vụ hàng hải,2016-11-29T17:00:00.000Z,4669400.0,0.04716566,0.75,0.2055,0.49
DSC,DNSC,Công ty Cổ phần Chứng khoán DSC,UPCOM,100000000,Không được ký quỹ,Môi giới chứng khoán và hàng hóa,Ngân hàng Đầu tư và Môi giới - Chứng khoán,2018-01-04T17:00:00.000Z,20000000.0,0.2,0.0,0.0,1.0
DNT,DNT,Công ty Cổ phần Du lịch Đồng Nai,UPCOM,7280925,Không được ký quỹ,"Khách sạn, nhà hàng và giải trí",Nhà hàng đầy đủ dịch vụ,2020-02-23T17:00:00.000Z,728092.0,0.1,0.65954616,0.0,0.0
DOC,DOCAM,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,UPCOM,10000000,Không được ký quỹ,Hóa chất,Phân phối hóa chất và nông dược,2016-12-18T17:00:00.000Z,3000000.0,0.3,0.72108,0.0,0.0
MCD,DOHAENVI,Công ty Cổ phần Môi trường và Công trình Đô thị Đông Hà,UPCOM,332019,Không được ký quỹ,Tiện ích khác,Xử lý và tiêu hủy chất thải,2022-10-19T17:00:00.000Z,148170.0,0.44626964,0.55373036,0.0,0.0
BSD,DOLICO,"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",UPCOM,3000000,Không được ký quỹ,Đồ uống,Sản xuất bia ,2017-04-27T17:00:00.000Z,1350000.0,0.45,0.51235,0.004,0.49
DMN,DOMENAL,Công ty Cổ phần Domenal,UPCOM,12500000,Không được ký quỹ,Hóa chất,Sản xuất phân bón,2021-11-21T17:00:00.000Z,3125000.0,0.25,0.0,0.0,0.0
DOP,DOPET,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,UPCOM,4719950,Không được ký quỹ,Đường biển,Hoạt động hỗ trợ vận tải đường thủy,2015-10-29T17:00:00.000Z,2123977.0,0.45,0.47224144,0.0053,0.48999989
CDR,DORUC,Công ty Cổ phần Xây dựng Cao su Đồng Nai,UPCOM,2133271,Không được ký quỹ,Kỹ thuật xây dựng,Xây dựng công trình khác,2017-06-25T17:00:00.000Z,1279962.0,0.6,0.29,0.0,0.0
DPD,DORUCOD,Công ty cổ phần Cao su Đồng Phú - Đắk Nông,UPCOM,12000000,Không được ký quỹ,Giấy và lâm sản,Nuôi trồng và chế biến cao su,2021-01-19T17:00:00.000Z,391100.0,0.03259167,0.884075,0.0,0.5
DWS,DOWASEN,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,UPCOM,25918130,Không được ký quỹ,Tiện ích nước,Hệ thống cung cấp và xử lý nước,2019-01-23T17:00:00.000Z,3887719.0,0.15,0.85598305,0.0,0.0
DPC,DPC,Công ty Cổ phần Nhựa Đà Nẵng,HNX,2237280,Không được ký quỹ,Bao bì,"Bao bì, đóng gói bằng nhựa",2009-06-09T17:00:00.000Z,1118640.0,0.5,0.0,0.0179,0.48999991
DPM,DPM,Tổng Công ty Cổ phần Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,HOSE,391334260,Được ký quỹ,Hóa chất,Sản xuất phân bón,2007-11-04T17:00:00.000Z,176100417.0,0.45,0.59582078,0.1907,0.49
DPP,DPP,Công ty Cổ phần Dược Đồng Nai,UPCOM,3000010,Không được ký quỹ,Dược phẩm,Sản xuất thuốc và dược phẩm,2010-05-18T17:00:00.000Z,900003.0,0.3,0.50999997,0.001,0.4899997
DPR,DPR,Công ty Cổ phần Cao su Đồng Phú,HOSE,43000000,Được ký quỹ,Giấy và lâm sản,Nuôi trồng và chế biến cao su,2007-11-29T17:00:00.000Z,19350000.0,0.45,0.55813953,0.0284,0.5
DPS,DPS,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,UPCOM,31085257,Không được ký quỹ,Vật liệu xây dựng,Vật liệu xây dựng khác,2015-05-05T17:00:00.000Z,31085257.0,1.0,0.0,0.0025,0.48999997
DP2,DPTW2,Công ty Cổ phần Dược phẩm Trung ương 2,UPCOM,20000000,Không được ký quỹ,Dược phẩm,Sản xuất thuốc và dược phẩm,2017-05-18T17:00:00.000Z,2000000.0,0.1,0.0678325,0.0,0.49
DQC,DQC,Công ty Cổ phần Bóng đèn Điện Quang,HOSE,27558066,Được ký quỹ,Thiết bị điện,Sản xuất đồ điện gia dụng,2008-02-20T17:00:00.000Z,12401129.0,0.45,0.0,0.0077,0.48999998
DRC,DRC,Công ty Cổ phần Cao su Đà Nẵng,HOSE,118792605,Được ký quỹ,Linh kiện ô tô,Sản xuất lốp xe,2006-12-28T17:00:00.000Z,59396302.0,0.5,0.50507654,0.0844,0.49
DRH,DRH,Công ty Cổ phần DRH Holdings,HOSE,123707866,Được ký quỹ,Quản lý và Phát triển bất động sản,Bất động sản dân cư,2010-07-25T17:00:00.000Z,111337079.0,0.9,0.0,0.0068,0.5
DRL,DRL,Công ty Cổ phần Thủy điện - Điện lực 3,HOSE,9500000,Được ký quỹ,Tiện ích điện,Sản xuất và Phân phối Điện,2012-04-10T17:00:00.000Z,6175000.0,0.65,0.30421053,0.0311,0.0
DSN,DSN,Công ty Cổ phần Công viên nước Đầm Sen,HOSE,12083009,Được ký quỹ,"Khách sạn, nhà hàng và giải trí",Khu vui chơi giải trí,2010-10-25T17:00:00.000Z,7249805.0,0.6,0.0,0.2272,0.48999997
DST,DST,Công ty Cổ phần Đầu tư Sao Thăng Long,HNX,32219000,Được ký quỹ,Phương tiện truyền thông,Xuất bản,2007-10-15T17:00:00.000Z,30608050.0,0.95,0.0,0.0006,0.0
DSV,DSV,Công ty Cổ phần Đường sắt Vĩnh Phú,UPCOM,1229579,Không được ký quỹ,Đường bộ và đường sắt,Hoạt động hỗ trợ vận tải đường sắt,2016-12-01T17:00:00.000Z,184436.0,0.15,0.50999976,0.0,0.48999942
DTA,DTA,Công ty Cổ phần Đệ Tam,HOSE,18059832,Được ký quỹ,Quản lý và Phát triển bất động sản,Bất động sản dân cư,2010-07-15T17:00:00.000Z,9932907.0,0.55,0.0,0.0013,0.48999996
BDT,DTBMC,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,UPCOM,38595400,Không được ký quỹ,Vật liệu xây dựng,Cát xây dựng,2017-09-05T17:00:00.000Z,13508390.0,0.35,0.51,0.0001,0.49
DTC,DTC,Công ty Cổ phần Viglacera Đông Triều,HNX,10000000,Được ký quỹ,Vật liệu xây dựng,Sản xuất gạch,2013-04-09T17:00:00.000Z,3000000.0,0.3,0.26988,0.0168,0.0
DTE,DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,UPCOM,50725887,Không được ký quỹ,Tiện ích điện,Sản xuất và Phân phối Điện,2020-12-30T17:00:00.000Z,17754060.0,0.35,0.0,0.0001,0.0
DTI,DTI,Công ty Cổ phần Đầu tư Đức Trung,UPCOM,12097754,Không được ký quỹ,Quản lý và Phát triển bất động sản,Cho thuê bất động sản,2018-01-04T17:00:00.000Z,9073315.0,0.75,0.0,0.0,0.48999996
DTL,DTL,Công ty Cổ phần Đại Thiên Lộc,HOSE,60630984,Được ký quỹ,Kim loại và khai thác,Sản xuất và chế biến thép,2010-06-03T17:00:00.000Z,5403152.0,0.08911536,0.0,0.0,0.48999998
DTN,DTN,Công ty Cổ phần Diêm Thống Nhất,,,Không được ký quỹ,,,,440000.0,0.2,0.2013559091,0.0,0.49
DTT,DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,HOSE,8151820,Được ký quỹ,Hóa chất,Sản phẩm từ nhựa,2006-12-21T17:00:00.000Z,4138348.0,0.50765939,0.0,0.0023,0.4899999
DTV,DTV,Công ty Cổ phần Phát triển điện Trà Vinh,UPCOM,5264000,Không được ký quỹ,Tiện ích điện,Sản xuất và Phân phối Điện,2010-09-08T17:00:00.000Z,526400.0,0.1,0.66003258,0.0003,0.49
MTV,DTVT,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,UPCOM,5400000,Không được ký quỹ,Tiện ích khác,Dịch vụ Môi trường và Cơ sở vật chất,2017-08-15T17:00:00.000Z,1620000.0,0.3,0.65,0.0011,0.49
MGG,DUGRACO,Tổng Công ty Đức Giang - Công ty Cổ phần,UPCOM,8999622,Không được ký quỹ,"Hàng dệt, may và phụ kiện",Sản xuất sản phẩm may mặc công nghiệp,2017-11-05T17:00:00.000Z,2699886.0,0.3,0.25268483,0.0006,0.48999991
DVC,DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,UPCOM,10793670,Không được ký quỹ,Kinh doanh xăng dầu,Phân phối xăng dầu và các sản phẩm dầu khí,2013-12-12T17:00:00.000Z,4317468.0,0.4,0.03875049,0.0,0.0
DVG,DVG,Công ty Cổ phần Tập đoàn Sơn Đại Việt,HNX,28000000,Được ký quỹ,Hóa chất,Sản xuất sơn và chất kết dính,2021-01-13T17:00:00.000Z,28000000.0,1.0,0.0,0.0012,0.0
DVP,DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,HOSE,40000000,Được ký quỹ,Cơ sở hạ tầng giao thông,Cảng và dịch vụ hàng hải,2009-11-30T17:00:00.000Z,12000000.0,0.3,0.51,0.1237,0.49
DSG,DVSG,Công ty Cổ phần Kính Đáp Cầu,UPCOM,30000000,Không được ký quỹ,Vật liệu xây dựng,Vật liệu xây dựng khác,2017-08-10T17:00:00.000Z,4500000.0,0.15,0.136,0.0017,0.49
DVW,DVW,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,UPCOM,2345000,Không được ký quỹ,Kỹ thuật xây dựng,Xây dựng hệ thống tiện ích,2018-06-05T17:00:00.000Z,1055250.0,0.45,0.0,0.0,0.5
DXG,DXG,Công ty Cổ phần Tập đoàn Đất Xanh,HOSE,610031516,Được ký quỹ,Quản lý và Phát triển bất động sản,Bất động sản dân cư,2009-12-21T17:00:00.000Z,488025212.0,0.8,0.0,0.2711,0.5
DXL,DXL,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,UPCOM,3957900,Không được ký quỹ,"Khách sạn, nhà hàng và giải trí",Khách sạn và phòng ở,2010-06-27T17:00:00.000Z,989475.0,0.25,0.37361732,0.0186,0.49
DXP,DXP,Công ty Cổ phần Cảng Đoạn Xá,HNX,29464334,Được ký quỹ,Cơ sở hạ tầng giao thông,Cảng và dịch vụ hàng hải,2009-06-07T17:00:00.000Z,14732167.0,0.5,0.0,0.0235,0.0
DXS,DXRES,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,HOSE,453122377,Được ký quỹ,Quản lý và Phát triển bất động sản,Đại lý và môi giới bất động sản,2021-07-14T17:00:00.000Z,181248950.0,0.4,0.0,0.193,0.5
DXV,DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,HOSE,9900000,Không được ký quỹ,Vật liệu xây dựng,Vật liệu xây dựng khác,2008-02-25T17:00:00.000Z,3465000.0,0.35,0.65805051,0.0062,0.49
DZM,DZM,Công ty Cổ phần Cơ điện Dzĩ An,HNX,5395985,Không được ký quỹ,Máy móc,"Sản xuất thiết bị, máy móc nông và công nghiệp",2009-06-10T17:00:00.000Z,4316788.0,0.8,0.0,0.0971,0.48999988
FUESSV50,E1SSHN30,Quỹ ETF SSIAM VNX50,,,Không được ký quỹ,,,,7797649.0,0.89628148,0.0,0.5814,1.0
E1VFVN30,E1VFVN30,Quỹ ETF DCVFMVN30,,,Không được ký quỹ,,,,465975580.0,0.9961,0.0,0.9314,1.0
EBS,EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,HNX,9965584,Không được ký quỹ,Phương tiện truyền thông,Xuất bản,2006-12-20T17:00:00.000Z,3986233.0,0.4,0.25354509,0.0831,0.48999998
E29,EC29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,UPCOM,5000000,Không được ký quỹ,Kỹ thuật xây dựng,Xây dựng công trình khác,2019-11-04T17:00:00.000Z,500000.0,0.1,0.51,0.0,0.49
ECI,ECI,Công ty Cổ phần Tập đoàn ECI,HNX,1760000,Được ký quỹ,Phương tiện truyền thông,Xuất bản,2009-06-15T17:00:00.000Z,792000.0,0.45,0.21005376,0.0479,0.0
EFI,EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục,UPCOM,10880000,Không được ký quỹ,Những dịch vụ chuyên nghiệp,Dịch vụ nghiên cứu và tư vấn,2017-04-23T17:00:00.000Z,5984000.0,0.55,0.0,0.0023,0.49
EIB,EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,HOSE,1229432904,Được ký quỹ,Ngân hàng,Ngân hàng,2009-10-26T17:00:00.000Z,983546323.0,0.8,0.00544723,0.0823,0.2997043
EID,EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,HNX,15000000,Được ký quỹ,Phương tiện truyền thông,Xuất bản,2009-08-10T17:00:00.000Z,8250000.0,0.55,0.40164,0.2185,0.49
ELC,ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,HOSE,58778843,Được ký quỹ,Dịch vụ viễn thông đa dạng,Thiết bị viễn thông,2010-10-12T17:00:00.000Z,35267305.0,0.6,0.0,0.042,0.49
EMC,EMC,Công ty Cổ phần Cơ điện Thủ Đức,HOSE,15297333,Được ký quỹ,Thiết bị điện,"Sản xuất thiết bị, dụng cụ điện khác",2012-11-28T17:00:00.000Z,917839.0,0.06,0.0,0.0017,0.0
EME,EMEC,Công ty Cổ phần Điện Cơ,UPCOM,3780298,Không được ký quỹ,Vật liệu xây dựng,Sản xuất bê tông,2017-07-16T17:00:00.000Z,1701134.0,0.45,0.33553757,0.031,0.0
EMG,EMESCO,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,UPCOM,3000000,Không được ký quỹ,Thiết bị điện,"Sản xuất thiết bị, dụng cụ điện khác",2017-02-15T17:00:00.000Z,1200000.0,0.4,0.49641,0.0,0.49
EMS,EMSP,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,UPCOM,20999440,Không được ký quỹ,Đường bộ và đường sắt,Đưa thư và chuyển phát nhanh,2018-01-04T17:00:00.000Z,2099944.0,0.1,0.36696021,0.0214,0.0
EPC,EPOCO,Công ty Cổ phần Cà Phê Ea Pốk,UPCOM,9388500,Không được ký quỹ,Đồ uống,Nước giải khát,2018-10-02T17:00:00.000Z,273430.0,0.02912393,0.32189381,0.0,0.856
FUESSVFL,ETFSSIAM,Quỹ ETF SSIAM VNFIN LEAD,,,Không được ký quỹ,,,,248900000.0,1.0,0.0,0.9728,1.0
EVE,EVE,Công ty Cổ phần Everpia,HOSE,41979773,Được ký quỹ,"Hàng dệt, may và phụ kiện",Sản xuất phụ kiện và may mặc khác,2010-12-16T17:00:00.000Z,31484829.0,0.75,0.0,0.7103,1.0
EVG,EVGC,Công ty Cổ phần Tập đoàn Everland,HOSE,215249836,Được ký quỹ,Vật liệu xây dựng,Vật liệu xây dựng khác,2017-06-07T17:00:00.000Z,75337442.0,0.35,0.0,0.0018,0.49
EVF,EVNF,Công ty Tài chính Cổ phần Điện Lực,HOSE,351064031,Được ký quỹ,Ngân hàng,Ngân hàng,2018-08-06T17:00:00.000Z,333510829.0,0.95,0.05340906,0.0008,0.5
EIC,EVNI,Công ty Cổ phần EVN Quốc Tế,UPCOM,36677145,Không được ký quỹ,Tiện ích điện,Sản xuất và Phân phối Điện,2017-02-27T17:00:00.000Z,7335429.0,0.2,0.51299255,0.0003,0.49
LEC,EVNLC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,HOSE,26100000,Không được ký quỹ,Kỹ thuật xây dựng,"Xây dựng nhà ở, cao ốc",2017-06-13T17:00:00.000Z,10392508.0,0.39818038,0.0,0.0001,0.49
FHS,FAHASA,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,UPCOM,12751462,Không được ký quỹ,Bán lẻ chuyên dụng,"Cửa hàng dụng cụ, văn phòng phẩm và quà tặng",2018-10-31T17:00:00.000Z,3825438.0,0.3,0.30496975,0.0,0.0
